Dataset name,Graph count,Batch size,Batch count,Model name,Run time (average of 5 trials),Average run time per batch,Average run time per graph
ogbg-molhiv,4113,1,4113,gin,10.792148409783803,0.0026239115997529305,0.0026239115997529305
ogbg-molhiv,4113,1,4113,gin-virtual-node,15.327789057418748,0.0037266688688107823,0.0037266688688107823
ogbg-molhiv,4113,1,4113,gcn,12.047918585222215,0.0029292289290596195,0.0029292289290596195
ogbg-molhiv,4113,1,4113,gat,7.688632766809333,0.001869349080187049,0.001869349080187049
ogbg-molhiv,4113,1,4113,pna,19.230693962518185,0.004675588126068122,0.004675588126068122
dgn-hiv,4113,1,4113,dgn-hiv,34.45619814447116,0.008377388316185548,0.008377388316185548
ogbg-molpcba,43793,1,43793,gin,123.21982888486237,0.002813687778523106,0.002813687778523106
ogbg-molpcba,43793,1,43793,gin-virtual-node,161.2160142663856,0.003681319258018076,0.003681319258018076
ogbg-molpcba,43793,1,43793,gcn,132.2062386886212,0.0030188897469600436,0.0030188897469600436
ogbg-molpcba,43793,1,43793,gat,83.0702038044115,0.0018968831503758936,0.0018968831503758936
ogbg-molpcba,43793,1,43793,pna,207.3890280476764,0.004735666157780385,0.004735666157780385
dgn-pcba,43773,1,43773,dgn-pcba,362.9172641213513,0.008290893110395707,0.008290893110395707
ogbg-molhiv-batch16,4113,16,258,gin,1.9670359447598464,0.007624170328526536,0.00047824846699728824
ogbg-molhiv-batch16,4113,16,258,gin-virtual-node,2.4447305250912907,0.009475699709656166,0.0005943910831731804
ogbg-molhiv-batch16,4113,16,258,gcn,1.7076080995611842,0.006618636044810791,0.0004151733769903195
ogbg-molhiv-batch16,4113,16,258,gat,10.27342903455719,0.039819492382004607,0.0024977945622555774
ogbg-molhiv-batch16,4113,16,258,pna,4.769724505487833,0.018487304284836564,0.0011596704365397113
dgn-hiv-batch16,4113,16,258,dgn-hiv,3.7990243310108793,0.014724900507794106,0.0009236626139097688
ogbg-molpcba-batch16,43793,16,2738,gin,22.260208183247645,0.008130097948593004,0.0005083051671099867
ogbg-molpcba-batch16,43793,16,2738,gin-virtual-node,27.866075625549982,0.010177529446877276,0.0006363134662057859
ogbg-molpcba-batch16,43793,16,2738,gcn,19.227668147441,0.007022523063345873,0.0004390580263384788
ogbg-molpcba-batch16,43793,16,2738,gat,128.4312812104823,0.0469069690323164,0.0029326897269080056
ogbg-molpcba-batch16,43793,16,2738,pna,54.546971553657166,0.019922195600313063,0.001245563710037156
ogbg-molhiv-batch256,4113,256,17,gin,2.291886535286903,0.13481685501687665,0.0005572298894449072
ogbg-molhiv-batch256,4113,256,17,gin-virtual-node,2.5872216730378566,0.15218951017869745,0.0006290351745776456
ogbg-molhiv-batch256,4113,256,17,gcn,1.8897967284545303,0.11116451343850178,0.0004594691778396621
ogbg-molhiv-batch256,4113,256,17,gat,318.52527790470043,18.736781053217673,0.07744353948570397
ogbg-molhiv-batch256,4113,256,17,pna,5.470188129320741,0.32177577231298476,0.0013299752320254658
dgn-hiv-batch256,4113,256,17,dgn-hiv,1.4999247900210317,0.08823087000123717,0.0003646790153224001
ogbg-molpcba-batch256,43793,256,172,gin,26.605141496006397,0.1546810552093395,0.0006075204141302581
ogbg-molpcba-batch256,43793,256,172,gin-virtual-node,30.423101643566053,0.1768784979277096,0.0006947023872209269
ogbg-molpcba-batch256,43793,256,172,gcn,22.248077682219446,0.12934928885011307,0.0005080281707628947
ogbg-molpcba-batch256,43793,256,172,gat,3887.3656481122607,22.60096307042012,0.0887668268470363
ogbg-molpcba-batch256,43793,256,172,pna,63.178578566573535,0.36731731724752054,0.0014426638633245846
